Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-03-19,9.568903443389267,-2.9383896252285995,4.138102175283205,-1.1910624081812209,18.88117561264807,6.289163993823954,18.769772106970926,19.164809019609258,-9.48305548381785,13.205937184159222,-1.7813883965244939,11.5404520024534,19.80235837889608,4.143541417042192,31.831429205684437,0.23775566443037213,4.282988055978889,7.906779442241739,-8.52596791952905,-11.766925928354372,-6.215102939292412,-1.496497256727591,-4.964507305802614,-2.5213958372130483,-10.262375827024478
2021-03-22,5.831696998424339,-8.417351662994744,-4.451440597068721,-4.203771828084132,14.393521331336483,4.64389798311892,14.25653649874899,15.207272262322617,-20.76368626640561,11.379120128342029,-0.8519807582836084,3.080803061242201,14.454993814277383,2.483512286247792,26.134342169188272,0.199543140214546,6.5274559623547015,4.270280417005563,-7.021965841853235,-12.043386186947698,-8.057604523369779,-2.6051905193028833,-8.071335527025171,-3.7480495132944602,-17.51787006811295
2021-03-23,4.849289405361588,-8.875426694317767,-2.7416343152108866,-3.608566860845036,12.782073454674524,8.551034965248718,12.983003413366953,13.153266893605164,-22.207447541734872,10.600323899677292,0.44304611757702916,6.119286445851365,12.336419829604585,-4.130886062914371,24.285088292705602,-1.0809771307888225,6.469955739360894,0.5906447087298383,-7.767129692896928,-11.215329502233686,-8.70768939801746,-3.5144931118165434,-8.295201040126619,-4.755898882137684,-15.426098207681168
2021-03-24,9.195824863146926,-4.380519525229008,-2.696105942139934,0.4107052054638266,16.151089893659645,14.137205293690105,16.13045732838526,10.753273622492404,-16.69399250007731,-0.31730468438418685,2.2453239372184686,6.285891152148087,8.895326698901156,-1.8037466996570157,17.292908727015803,0.5270826519521523,6.776526793032815,3.187815966915511,-5.397172369959369,-8.27449638997039,-9.305887399302406,-3.348004044097077,-3.561484581363994,-1.599086136615823,-17.604115934788723
2021-03-25,10.663943706688181,-4.642859639165188,-2.4731690415447316,0.9680104389294465,18.09166374578983,15.894700802178768,18.25427500329804,10.338549287002223,-21.37054800795417,2.740488709648376,2.4288532317703377,4.463828056857683,6.974753026783516,-0.05266715025861158,17.126149916483786,1.2458111426500365,4.679196548210277,4.129234979023838,-4.458227270556193,-6.0351483387193126,-8.44866771016588,-4.518126379691716,-1.4608256588616764,-0.1809573969548418,-18.67659127999254
2021-03-26,8.763985871689888,-8.671402343224948,-7.6283568376241755,-2.934397070827535,16.12819670418901,11.659518227564671,16.553237552484703,10.294904529888573,-28.25458969126603,-2.4258760107816713,4.382603983805674,0.8310986172772606,6.875663325135155,-0.8024876453739314,14.023133358733137,2.8817550632381086,6.925747794839015,3.3725128190487217,-3.0380288036057257,-7.941140122376387,-7.189703944113496,-8.492659565619116,-5.024891819530409,-5.50462687231041,-17.356723160873656
2021-03-29,8.698712988286449,-6.640295512228218,-4.891955950098222,-2.6670130074919296,17.38208954934419,13.295875461843307,17.163738977542454,11.571895799518476,-24.039051088919592,-1.414108605240935,6.033718646089699,1.0109069945313012,9.300846534756738,3.165559977374102,13.893853454514987,0.8963600971775466,10.807185062149117,10.093904119933814,-1.899854030247234,-4.454260901496065,-7.326269267127864,-6.951531575531154,-2.810453800685896,-4.619669031495797,-15.60744357974986
2021-03-30,11.257937046102137,-4.318072903983763,-0.3052232414392611,-1.572354558186458,17.048894510131927,13.689524315629399,16.800575130105152,15.539152738678522,-25.48174452867781,-3.2028099143013895,7.133503680439161,7.749240174945086,9.723020619506398,5.3871723833700464,19.732722663141438,2.2021202196465994,10.05478857117293,12.677095598203422,0.16322987290078436,-2.9572540718964673,-7.267927015021153,-4.306907936496527,2.390414889977692,-1.9376958312091717,-12.674300443501266
2021-03-31,7.895950907927548,-6.039271775108146,-1.406886039126415,-1.6262006280787624,15.047043092928497,11.003439217599912,14.896196336581866,12.22092388244226,-28.74903872608631,-6.524585463020218,7.200654526183403,1.0037703266963065,11.89511317470043,5.628280590406045,16.42096730693543,1.3760938137130376,10.41765481926163,10.689082676850553,2.252989797398468,-0.2510832074287018,-6.238725393376786,-4.742378035613861,1.3318700048774643,-3.7460764545883247,-14.510895662802072
2021-04-01,3.820097826564524,-7.861847572057705,-2.6205057025738587,-6.107779682579345,9.272526185906647,8.415574369479685,9.12713969963419,10.662619093308267,-23.96731488305427,-7.795879762922428,6.259261111703104,-0.6235396320183227,12.730747520180271,3.1746074070716177,13.76943239028487,1.5888667037032302,11.374412539376355,7.369141681620501,2.842416590756317,-2.9449168254487534,-6.500119022627874,-5.096790404170273,-0.006386387625910344,-5.818116656800991,-13.723944005831868
2021-04-05,6.000800074120125,-9.651488219728355,-2.129078294338651,-5.716678455697009,11.044775394164125,9.356103359159256,10.92927860882766,14.4006082951525,-18.535130229619146,-7.674820020194223,4.845073861135579,1.124630460912044,12.660381097390186,4.211757538927057,17.0650571197585,0.537940022852804,9.973129656787961,6.757566660248765,3.0837407177443033,-2.8279987853532593,-4.951956928919183,-2.103185261869739,2.3515966191834554,-3.8574029509208594,-12.42215150095607
2021-04-06,7.43969806843786,-10.929750325100944,1.1303577405708751,-3.621558773890828,13.45214951027089,9.613848687955374,13.250051911428166,15.26218193356447,-16.40956658216875,-9.968954648590014,6.350167774244199,3.285879992321726,15.40473999895758,8.207108939911476,20.809611782371643,0.05502680294181611,9.098590259820643,11.492750138585576,3.8153897798978367,-1.3248655685055368,-4.272653122319638,-1.605627610947967,2.3812547502040253,-2.728442018663994,-11.908614013073818
2021-04-07,7.87696681357953,-11.488943730278587,2.537854581810891,-2.132663638934983,16.715587191696564,11.089523934140608,17.010633433344786,14.686466721697904,-21.628064945479466,-13.02566652558783,6.029154241654735,3.9437135556441363,15.644867493835044,8.279430661450846,21.194026233078482,-1.1447125830773426,10.007717175216275,10.847835958029824,2.843310912468394,-0.5747808836570899,-5.224889339931473,-4.208146177265978,3.987834738394147,-2.7000667909730267,-13.72569695732798
2021-04-08,6.662934449075479,-12.105337655590946,3.3159055869300422,-2.7758991759199847,15.993605536046596,8.611951638427762,16.11118468511774,15.79006324303566,-22.204987135197474,-14.0184313431249,6.143807522315179,3.4794263087354995,16.35507217889544,8.469878261282036,22.93438130091409,-4.064988766691875,10.700633255930708,12.645712815910933,3.028025313837609,-1.1260934148239101,-5.196257000389468,-3.0055185484740594,3.5063433799095685,-1.9004631385858464,-14.137894117922842
2021-04-09,8.531563287549078,-9.228495590353816,10.334609569800858,2.422832795752625,24.468095369320615,15.694124037676996,24.424981445233957,17.36961476746349,-21.614055488481114,-11.86106350014276,9.045315475095075,9.732403326120822,20.444235308045304,12.822485430310056,23.329663036465497,-2.3111774898511057,14.103275364223219,18.228790625940704,6.636538938792742,1.7985838213942253,-1.2845463425059225,2.5391580767631834,8.73043557871943,-0.7918848602915909,-6.213413857055851
2021-04-12,5.834345987831798,-5.317669765024215,8.911198660883658,2.0718947711822557,21.165550115058444,17.50943165905071,21.125426061979294,15.839144726157278,-18.87171274294056,-13.130590604908027,8.930951575375802,6.255813161673585,19.752514662733383,11.492280616996391,21.58054348750612,-4.161745325439944,13.422049617929343,15.973846055249163,4.717700113293817,1.0782518707892768,-3.0929100259374906,2.09193006844638,7.0221360075889265,-0.9580565867308223,-5.39304590076504
2021-04-13,9.80772518603309,0.42436914981977025,10.007890319739438,4.647558232017358,23.35391597678848,20.40800679790813,23.45157466236811,21.67840596511219,-13.588651767114337,-11.799782853720036,12.260934726430914,6.976690938020267,20.913969103175244,13.96636765493614,26.58340349773028,-1.2505415827010815,17.31777292227044,19.535861506218865,6.4659487185224265,2.953779155704855,-0.9082642523196022,5.2107690895477825,8.832316956557168,1.7556334264627291,-4.180291752182582
2021-04-14,7.348222957496571,-1.2673303682550754,15.067619596541787,1.7341325945556256,18.90685019309351,19.159566359452587,18.940231786578078,17.532685168867356,-15.13556957864768,-10.810281963103236,12.649700598802397,3.9122445360757876,19.387444707194163,11.413591107070667,23.10775042571412,-3.595357299568626,18.684041206582766,17.881577446374557,5.466389846498737,4.228006330229773,-1.796799380691998,5.601168677033211,7.84042683053524,0.23636228235304332,-9.114767464489287
2021-04-15,7.502825306515244,-0.03704203994594597,15.256233516332617,0.711240147697855,18.149460787802003,15.059159518798513,18.036221919818747,17.90719550249546,-11.696971655040272,-7.577445538418353,10.811288080188287,1.172201870628713,13.367263325173461,9.076550680741098,23.624805011958653,-2.120929097020349,17.471335667676854,12.749351169464788,5.225569793591071,2.6070138594164174,-1.8901890929331575,2.657775169185711,5.9946812453925835,-0.5764264997086813,-10.105788088288046
2021-04-16,6.14402990772891,-0.08958870763048805,15.756999725284269,1.7651207821863344,9.86313276527902,14.88468154880747,9.99531121385015,16.91771943192915,-13.0561971332208,-6.686643470147245,12.462630893480659,3.5361921194992103,11.920971350533815,11.188914735302506,21.088149274853535,0.13707241165303738,16.792492166353906,14.527373667297338,5.4439739733213175,2.722337113357156,-1.642521978608343,-0.8976148778548076,7.003230524163073,-2.1080027479075536,-8.6130387386438
2021-04-19,7.214580847971538,-2.2490693293673885,17.48174735396515,1.471027861513047,11.472849843260887,15.640371016075408,11.667646250192735,16.629216912087415,-14.275458719623138,-7.06278671720942,19.61618020976062,2.092940526809014,11.298368981690778,8.563917882411141,18.68404394202734,-0.40126497514123965,16.505267844770803,14.133150052957847,6.649617850288135,3.892091011932359,1.6046317515046051,-0.9582612431815009,7.117172083519062,-1.6724076808941926,-5.168480732477493
2021-04-20,7.427748026358771,-2.3764259509659085,14.314620930643523,1.1389684846360608,8.681898549500795,13.76725207826296,9.245946002360967,15.695713837709294,-15.562697558736929,-6.21004039945248,20.181192648471665,2.257459881379543,11.190029656106606,8.13335028023417,13.613611878272133,-1.1857689172569068,17.08025797346461,13.62361443438653,5.688040982158629,4.457016632539141,2.506590572696295,-0.6989810657280774,6.3013106708335735,-3.373936782279135,-6.564282334809941
2021-04-21,6.330682569487683,-1.3804684384589683,6.125877522396379,1.5245472103418158,10.2167393425571,13.283069039584591,10.271822993351956,12.407081392242672,-16.90950093676614,-7.464645133609135,20.20102045799326,-2.684578403574991,8.277441240214868,8.647106888890807,8.387721448308083,-2.3769089330995725,16.416098782664342,12.805982796318565,4.389562784950536,2.5484294722315304,3.518130494381819,1.1980592030753077,4.3604115027335775,-3.737493386985076,-11.64316320514972
2021-04-22,6.223078271758935,-2.6836218247923864,5.997926304650067,0.3328308936507186,9.475809475522738,12.0616064307426,9.682697070143456,10.301234433699028,-17.033167901941376,-5.03198097141091,21.002329716119778,-4.089502025246331,5.881925309769922,8.129959780545933,7.643687241243093,0.06013763286053144,17.411570746214743,13.540665056952294,7.165618521729633,3.3513149056591445,5.183910121889303,4.165084749615073,3.82421776133548,-4.0515405414169,-13.111874731238201
2021-04-23,7.161676800231653,-1.7357309358960675,4.136680219584765,2.5893208251291964,9.054483505320881,10.83605840445159,9.442203415280884,11.186777430878003,-7.8676001597582745,-7.040461584529578,19.5081013004205,-3.1805088985637475,7.568374472481409,10.10463106164332,9.526609640722222,-0.5815006503806236,17.04761898504552,14.62254162552654,5.576348329756447,5.116253361372623,5.488045293840373,6.343102624262354,3.1278488084381064,-2.8387973918764096,-11.629667613669925
2021-04-26,5.4767062410748695,-2.197884343509623,-2.0753132750332877,1.7464021191937993,8.533810627524687,10.492249558133393,8.949894890112391,9.8674224758721,-11.31755011453396,-7.6759812968735295,18.779831992521924,-4.159790924709573,5.679606635069533,8.520837670274304,10.894864142358623,-0.9213530060164066,16.288892398935467,12.097883039357503,5.142983519485484,5.411697018167576,4.174467659466806,5.744577430817018,2.450568552895784,-3.44055830822514,-13.436222842205419
2021-04-27,6.80435846163954,-0.3989017549017044,1.4955321287444525,2.144482514617705,9.999374362208142,12.140479237667513,10.257068877431696,9.421926854429195,-9.204531597706897,-9.030819898804243,21.804170562250878,-3.968584063965938,6.746901790652656,9.911410217734238,9.79810118386244,-0.8224247221325811,16.637231553971606,13.733133892160007,4.599594593520121,5.9957459664023744,3.813327991558347,6.817306540357508,2.9528528374759095,-2.633440928418967,-11.112294488618597
2021-04-28,7.336885452575877,1.3664629717462085,1.619346116333376,5.3387162349189365,9.80385296157998,11.06325416050818,10.090015276766616,9.320305552631428,-9.828942584472559,-10.575425295373943,21.575999506634673,-3.154579052961179,4.04424911880885,11.125543800799313,7.62874199877525,-0.7936104436039544,16.38039977925483,13.777442320827843,2.595377870342029,4.002828651902366,4.269362637703442,6.765838059726286,3.261299911058333,-5.281785195481803,-6.330637408141329
2021-04-29,4.864860676694186,2.652095168011121,3.0759471279776953,3.8130460833267534,12.927283114198277,12.351492167523283,13.10123994020114,7.944123115141008,-12.746971011224458,-12.113730965962022,20.901918370563315,-3.5462641932383527,5.0516790240769165,11.295842639827184,7.682122025564622,-1.6902106663409688,14.605580527587328,15.821310811137245,2.529970286580379,3.2147187390659497,2.740267726819995,5.0710314641281,4.887726464398593,-5.111848289957148,-1.21192343528706
2021-04-30,4.786912403757872,5.211621430062906,3.850567787705978,5.314239647663696,13.458959427666969,22.543515782500158,13.845174462039763,12.021050704152977,-11.159793583680734,-9.974143817428658,20.809352813808765,-2.8080137089762456,5.460537913464564,12.362067766659997,13.264124664481539,-2.316888783280551,13.658366129443703,15.670983242922398,1.3741980977933717,3.2556300235431324,0.11934562210124847,5.958891043093463,6.0896432073470645,-3.922912998708256,-4.444948633276245
2021-05-03,3.6394589484309154,1.4707043458236009,1.6614717031319337,8.468569494703488,13.366943709377265,24.690326385011087,14.437403953556839,9.582463478854091,-14.553944343480849,-9.496317939944971,23.544277709408295,-6.173973493256839,4.107554151845048,14.941636416282567,11.380567158158286,0.7178783897511267,16.23872506287075,14.914298982854302,4.428883835568775,5.113176201535591,-0.9823695334175108,6.151794070142026,7.307148547841743,-5.580789521043824,-7.378879744630765
2021-05-04,8.055093527835886,4.793645465184772,5.358483635098973,9.557205658561466,15.122235362960954,25.290988457525255,16.361239153622293,5.6814757617259195,-1.497550275680089,-8.815022836480324,22.39042304716011,-3.486855710456877,3.6409894304726826,12.351187991028723,6.7771645614759555,1.068765699953018,18.281671763623912,13.15387690861398,5.885603444836139,6.747381702227519,-0.8941675510953648,4.987861095702498,9.33815845384217,-4.224939948004239,-3.9826653584300513
2021-05-05,7.587772377098473,4.234865569050627,3.5019795317293156,5.061504214186485,12.30171209941158,20.371626662993446,14.432651506957047,6.353509992531432,-2.8475750624263374,-7.383443927151776,23.055445652391356,-5.229920109131223,1.5005607181974914,9.188631105125195,7.175296671539731,2.736224958143898,23.155218958263866,7.605157489664998,5.850062171310664,10.778899763467582,2.0660069737898814,7.857350491466715,6.76999022106651,-5.928535586864723,-8.012746149041854
2021-05-06,6.186311796224539,3.0713988998699016,1.4483693807609188,5.675838884945912,11.748676834701708,20.385155832354826,13.041899784325972,3.65888962213263,-8.215408897180804,-7.759637221029259,23.566422009769187,-6.336300305962707,1.7878152103430023,6.571578138381764,5.414461470044367,3.019868240789872,28.572526995619164,2.888485554830529,5.256142301889742,10.463748934303279,2.0517622445510164,5.170664266216403,4.001092593593357,-9.003199478763271,-9.075223335731962
2021-05-07,7.624783194129107,5.702952018933069,8.925420036662373,6.962015839560809,14.404124213861468,23.4912976554822,15.717545646753942,6.448459767969513,-0.21400596363643196,-6.02001954250885,25.58153864198956,-2.9223938581939164,4.557491058498554,7.429242050438596,9.14634584350204,2.4760376722227124,30.72282602457762,4.673268178903563,5.869799785354733,11.766998880839337,3.779139571312558,7.146182836201259,5.773588630148504,-6.608102887079362,-5.81169743016586
2021-05-10,8.50761192798914,7.9086292250854315,7.975135556721316,7.3121594630363385,16.91371736430184,25.137804127419006,17.828419495854522,8.089996337890625,-1.4359751277451887,-4.914828491106165,24.9172230675852,-3.251963082998305,6.8288395575168845,9.393096193593449,12.322973872655902,6.20976645271687,30.324377738020637,6.615798575190921,9.349958039256085,15.658606215185989,7.422194510777827,8.019305328530985,7.903492834208367,1.8521914581228478,-6.815763803845752
2021-05-11,5.8791223652603986,1.26770696844497,6.83078521350069,4.32847246633904,12.489003757375187,18.662942794892178,14.094574274868299,9.201371003277687,-7.450971346809508,-4.988619649761019,25.286118828785213,-8.415372935873004,7.308970099667775,6.9104006293132025,12.127659516905128,6.6407143396216295,30.131495512999074,3.551946780168401,9.333010208926568,16.191941103657022,8.897480279698156,7.351714161129753,3.826905666974492,-0.9377555158097234,-9.480266812442652
2021-05-12,4.566643074165533,-1.2947591999843524,3.1235431235431235,1.3491508414663445,8.650608849695677,16.119691119691122,10.40639213185611,6.462314485958785,-12.703221650799351,-5.265993941481863,25.806831691150155,-11.552310802578438,7.379513185512643,3.69374846498087,9.91617871152629,7.313538744532355,29.682268512705146,-0.49886928009909304,11.775628561423183,15.481339410090722,6.835962773514735,7.07464533218639,0.9515854339472234,-2.0939716096603496,-12.552000360566668
2021-05-13,6.420285097159797,1.097824016129351,9.408618327515892,5.990016638935108,10.678079623413089,17.900630580307148,11.59514651398969,3.291827186658642,-7.76331992746421,-3.5891089108910887,22.957915867673975,-7.292789096816501,4.381660315074877,4.086571342737902,6.174801549015451,7.8863090315972775,26.87286586826404,1.2491325468424705,10.823320424401475,16.07803914958917,6.016371247410427,7.628150557104528,6.408738867668244,3.563105018393521,-7.1357954846741265
2021-05-14,6.646675608960173,3.7043242149163595,13.447581567804582,6.9822067478188,9.449191286376658,18.80141638321472,10.346054737403971,1.5023920524633674,-3.2022389640680724,-4.133835426185815,21.70995528915593,-3.0884334188225466,5.061102046193917,4.732857922853884,0.4939548970356598,9.080808278164312,27.127090946106975,2.812585571463698,11.248463112674258,16.94144506812171,7.925731381328682,9.37056448925265,8.871227719130404,3.7208392935848806,-3.2668822064660366
2021-05-17,6.036267426215271,3.9779294217532004,11.463303998393013,6.169057538888437,7.699792146868327,17.125779466732226,8.692742092356003,-1.1009146314148641,-2.4316403311883383,-5.417548595726078,18.406794297723366,-3.0546051345243868,7.60718007352449,4.832646341921271,-1.6412276300531277,9.852651519964967,28.7038509964106,0.5957642062165611,9.279246309345595,20.427330716020535,8.108853944240026,9.990631646672202,9.255272906408441,1.6274473448323383,-5.7310241879606165
2021-05-18,8.426053790200944,8.98934258302343,22.114164682253058,9.958833654676184,12.755663576042963,22.8114804713078,14.087254697318304,-0.601370079370729,2.2291301441597624,-5.095881328292239,16.888934478412803,4.959053922477745,6.840619452336119,2.6830654599752206,-0.5421357354165537,8.259212518489408,23.923870406031178,-2.4317989674500646,8.373265153196746,23.64009759901676,6.06714109197738,10.046174697387485,15.62915115489321,4.270169008791374,0.3515442664263827
2021-05-19,5.342632200522591,4.517302325651739,13.95139782707969,7.5005278314908805,12.840383906223462,18.758940293310523,13.84546824678545,-0.5114132955194194,-15.674460297201822,-5.390325834482389,16.395815004767357,0.07213871050851049,8.463406895710303,3.6440364662622127,3.4540291745091913,7.786936599198048,20.772950754813664,-2.528415301033644,8.147096515952164,21.227810303928408,7.0137547271022544,8.727408572827425,10.34883486611469,1.8484393157818426,-4.8261823181468255
2021-05-20,2.9644606505160076,2.6504419204885865,8.808365486432965,4.492350993460105,9.441161538101246,14.832015647488209,10.188170416276694,-6.779207026633154,-17.290360492841128,-5.762957660628916,17.131002026677912,-2.648597187980793,3.7839198945566856,-0.18371809180146315,-4.322489823305483,6.76092376894693,17.18750429841204,-6.384601743619426,6.847810170784846,16.46543233645841,5.5778546964450575,7.8333324856228295,8.240081106462426,1.8352515882393161,-5.624346194224198
2021-05-21,2.8802773543693942,2.6812104763923847,10.074265274055772,4.201257481907574,9.067194707810819,14.495392500974985,10.084782432547195,-7.302817311170591,-17.810173987493943,-3.9228121379978775,15.98130606070794,-1.7500942050032835,4.218503238636296,-0.3139471475746038,-3.8492914002439886,6.786479259255494,17.12479356507622,-5.577814186235492,7.78503611923954,15.375018931298834,5.761764377225027,6.924996200155629,7.231852811986535,3.2553826712865206,-5.441346319927934
2021-05-24,5.013788896805408,5.610180107420464,17.950762156113463,5.195354122098957,13.044388933879572,18.960512595266525,14.746933674752746,-6.686983907968011,-14.071754206911717,-3.8831227220072027,15.375547003303513,1.5116201439954533,3.3237288788156016,1.1231967666275002,-4.114899147211731,7.349621102101373,16.074695318697486,-3.545759742265168,7.850786332535622,16.28011438054869,7.144770300505085,8.593601291314842,11.228902997783747,6.126007063148778,-3.0845156148896407
2021-05-25,5.527871837867596,1.6291671161091463,15.32265172842902,4.342432879856297,12.67741970463704,16.24109276897831,14.542046935272367,-4.807259003861949,-17.846142803981966,6.259249370199882,16.528198662635372,-2.941983539552959,5.142566611486096,2.0961134887023105,-2.169229295965681,6.5328486766981015,13.750264456817474,-3.0595198277918434,7.342876960699835,16.286945926520698,4.32900737120787,5.740970505187539,10.51185654181339,5.733081190452271,-6.351512562144887
2021-05-26,5.9147689039098035,1.791829262935597,18.619389765564854,5.653874136139235,13.825580205055568,17.11543540600738,15.65003023654215,-2.0531392577146264,-10.278041660363115,5.515976488195564,16.144951780764337,-3.404575479663617,6.735725338208671,2.314195380002605,0.6597857987166716,5.763155067956788,11.858342952119273,-2.419059543355264,7.065302030292258,17.225361380347593,2.851186490185267,4.628297593202652,10.760416289182057,6.303620170543025,-6.549846729843278
2021-05-27,6.0707052806393555,1.7633832242483514,17.936843684814534,4.42832033759085,13.65369300991929,15.612124507330408,15.38702061616294,-3.2490994870798184,-13.429556697607586,6.694157492639246,17.01403108463832,-4.718874976122152,5.467800107398895,2.255402512301907,-1.8864728853536634,5.741118045812053,13.491411257360603,-2.5562461347328522,8.0750625019828,17.214976909951314,0.32341343867810407,9.03465135287017,12.252495078050188,7.207207658720895,-5.809022851159215
2021-05-28,8.863556189339668,4.9033466539157615,23.401453677775987,7.530075735845915,18.191395611431798,17.72306573404514,19.679606036042685,0.0,-5.040110038211437,9.09041585739417,14.602962965710208,-0.8941062051182348,3.996196191351901,3.2176156652288657,4.259810087037006,5.4776551500385775,12.05678192164389,-0.6675782580466466,7.31934607017407,19.242675020874653,0.29764925897079064,10.937656808986716,14.987023184548715,9.566550006515653,-0.012803553352289625
2021-06-01,8.964616170752185,4.650389141093201,20.6702523023152,5.432269002004659,17.141927982664708,14.094659512972626,18.537583429696504,0.23215854085946577,-4.026750449623661,8.047100966588722,12.88911520473818,-0.9400142341612796,6.14928021378435,10.000001474991734,3.9652996941286824,5.923526233457766,10.816322502074001,1.960671521949783,5.577689005577724,16.794864740910487,-1.9223288451966796,9.582289535453787,14.627403527126981,12.733272696064834,-0.5059371475289098
2021-06-02,6.457896470033515,1.3696429611523406,23.386097778213905,4.263437639271083,16.927743751469944,12.471889448064758,18.807609492232206,2.691634592927447,-6.298507150644493,7.791654795343852,12.775998338943944,0.03366513687097779,9.86950637610585,10.307693481445312,6.331606018938666,6.012457256376558,10.97805805796502,1.6964333686902415,4.309418440607463,13.58486166045411,-1.8707200016504926,7.365434664755129,11.522734789424934,10.610216119967257,0.8841831351052657
2021-06-03,4.440610729206078,1.4199427540146623,24.340608917975818,2.7282860744521913,17.038890541677944,13.677183818659037,18.62432762097471,5.13876414733792,-6.347405957481405,8.346037915035273,11.028497869318182,1.674350095795708,11.909532311908583,10.122511622410665,10.014485072527604,3.0869951729510166,8.793709577865442,2.3249950800958676,0.3016545083505618,11.177060866850228,-1.25868671630854,7.2205337549051825,7.601038579071891,9.023252975109026,3.3426930829189065
